"year_loc","layer","KL","LL"
"2014-IAH1",1,0.06,0.17586739
"2014-IAH1",2,0.0491238451846789,0.17586739
"2014-IAH1",3,0.0402192027621384,0.1813126
"2014-IAH1",4,0.0329286981656416,0.18105268
"2014-IAH1",5,0.0269597378470333,0.162927022
"2014-IAH1",6,0.0220727664702865,0.162927022
"2014-IAH1",7,0.0180716527147321,0.162927022
"2014-IAH1",8,0.0147958178364964,0.09093796
"2014-IAH1",9,0.0121137910796793,0.09093796
"2014-IAH1",10,0.00991793329329519,0.09093796
"2014-ILH1",1,0.06,0.187833457
"2014-ILH1",2,0.0491238451846789,0.187833457
"2014-ILH1",3,0.0402192027621384,0.187833457
"2014-ILH1",4,0.0329286981656416,0.187833457
"2014-ILH1",5,0.0269597378470333,0.1873221784
"2014-ILH1",6,0.0220727664702865,0.1873221784
"2014-ILH1",7,0.0180716527147321,0.1455560554
"2014-ILH1",8,0.0147958178364964,0.1266217042
"2014-ILH1",9,0.0121137910796793,0.1266217042
"2014-ILH1",10,0.00991793329329519,0.1266217042
"2014-INH1",1,0.06,0.198925087
"2014-INH1",2,0.0491238451846789,0.198925087
"2014-INH1",3,0.0402192027621384,0.198925087
"2014-INH1",4,0.0329286981656416,0.198925087
"2014-INH1",5,0.0269597378470333,0.198925087
"2014-INH1",6,0.0220727664702865,0.198556069
"2014-INH1",7,0.0180716527147321,0.198556069
"2014-INH1",8,0.0147958178364964,0.198556069
"2014-INH1",9,0.0121137910796793,0.1498486
"2014-INH1",10,0.00991793329329519,0.132423928
"2014-MNH1",1,0.06,0.199326766
"2014-MNH1",2,0.0491238451846789,0.199326766
"2014-MNH1",3,0.0402192027621384,0.199326766
"2014-MNH1",4,0.0329286981656416,0.198879772
"2014-MNH1",5,0.0269597378470333,0.198879772
"2014-MNH1",6,0.0220727664702865,0.198879772
"2014-MNH1",7,0.0180716527147321,0.186838921
"2014-MNH1",8,0.0147958178364964,0.186838921
"2014-MNH1",9,0.0121137910796793,0.1688438215
"2014-MNH1",10,0.00991793329329519,0.1688438215
"2014-MOH2",1,0.06,0.09805775932
"2014-MOH2",2,0.0491238451846789,0.09805775932
"2014-MOH2",3,0.0402192027621384,0.09299435926
"2014-MOH2",4,0.0329286981656416,0.09299435926
"2014-MOH2",5,0.0269597378470333,0.09299435926
"2014-MOH2",6,0.0220727664702865,0.09299435926
"2014-MOH2",7,0.0180716527147321,0.10389202168
"2014-MOH2",8,0.0147958178364964,0.10389202168
"2014-MOH2",9,0.0121137910796793,0.10389202168
"2014-MOH2",10,0.00991793329329519,0.10389202168
"2014-NEH1",1,0.06,0.15390472
"2014-NEH1",2,0.0491238451846789,0.15390472
"2014-NEH1",3,0.0402192027621384,0.15390472
"2014-NEH1",4,0.0329286981656416,0.148326358
"2014-NEH1",5,0.0269597378470333,0.148326358
"2014-NEH1",6,0.0220727664702865,0.148326358
"2014-NEH1",7,0.0180716527147321,0.170732488
"2014-NEH1",8,0.0147958178364964,0.170732488
"2014-NEH1",9,0.0121137910796793,0.17626069
"2014-NEH1",10,0.00991793329329519,0.17626069
"2014-NEH2",1,0.06,0.136560532
"2014-NEH2",2,0.0491238451846789,0.159191584
"2014-NEH2",3,0.0402192027621384,0.1985411806
"2014-NEH2",4,0.0329286981656416,0.1759962784
"2014-NEH2",5,0.0269597378470333,0.1475990608
"2014-NEH2",6,0.0220727664702865,0.1475990608
"2014-NEH2",7,0.0180716527147321,0.1475990608
"2014-NEH2",8,0.0147958178364964,0.1135603138
"2014-NEH2",9,0.0121137910796793,0.1135603138
"2014-NEH2",10,0.00991793329329519,0.1135603138
"2014-NYH2",1,0.06,0.118096978
"2014-NYH2",2,0.0491238451846789,0.118096978
"2014-NYH2",3,0.0402192027621384,0.135076081
"2014-NYH2",4,0.0329286981656416,0.104023108
"2014-NYH2",5,0.0269597378470333,0.104023108
"2014-NYH2",6,0.0220727664702865,0.104023108
"2014-NYH2",7,0.0180716527147321,0.103964626
"2014-NYH2",8,0.0147958178364964,0.103964626
"2014-NYH2",9,0.0121137910796793,0.103964626
"2014-NYH2",10,0.00991793329329519,0.103964626
"2014-WIH1",1,0.06,0.1399648
"2014-WIH1",2,0.0491238451846789,0.1399648
"2014-WIH1",3,0.0402192027621384,0.1399648
"2014-WIH1",4,0.0329286981656416,0.1399648
"2014-WIH1",5,0.0269597378470333,0.187360699
"2014-WIH1",6,0.0220727664702865,0.187360699
"2014-WIH1",7,0.0180716527147321,0.16033988605
"2014-WIH1",8,0.0147958178364964,0.16033988605
"2014-WIH1",9,0.0121137910796793,0.0094954765
"2014-WIH1",10,0.00991793329329519,0.0094954765
"2015-ILH1",1,0.06,0.187833457
"2015-ILH1",2,0.0491238451846789,0.187833457
"2015-ILH1",3,0.0402192027621384,0.187833457
"2015-ILH1",4,0.0329286981656416,0.187833457
"2015-ILH1",5,0.0269597378470333,0.1873221784
"2015-ILH1",6,0.0220727664702865,0.1873221784
"2015-ILH1",7,0.0180716527147321,0.1455560554
"2015-ILH1",8,0.0147958178364964,0.1266217042
"2015-ILH1",9,0.0121137910796793,0.1266217042
"2015-ILH1",10,0.00991793329329519,0.1266217042
"2015-INH1",1,0.06,0.136161076
"2015-INH1",2,0.0491238451846789,0.136161076
"2015-INH1",3,0.0402192027621384,0.136161076
"2015-INH1",4,0.0329286981656416,0.1872629725
"2015-INH1",5,0.0269597378470333,0.1872629725
"2015-INH1",6,0.0220727664702865,0.162445828
"2015-INH1",7,0.0180716527147321,0.162445828
"2015-INH1",8,0.0147958178364964,0.09162481
"2015-INH1",9,0.0121137910796793,0.09162481
"2015-INH1",10,0.00991793329329519,0.09162481
"2015-KSH1",1,0.06,0.21001153
"2015-KSH1",2,0.0491238451846789,0.270992068
"2015-KSH1",3,0.0402192027621384,0.270992068
"2015-KSH1",4,0.0329286981656416,0.270992068
"2015-KSH1",5,0.0269597378470333,0.231981325
"2015-KSH1",6,0.0220727664702865,0.231981325
"2015-KSH1",7,0.0180716527147321,0.215246467
"2015-KSH1",8,0.0147958178364964,0.215246467
"2015-KSH1",9,0.0121137910796793,0.1985434435
"2015-KSH1",10,0.00991793329329519,0.1985434435
"2015-MNH1",1,0.06,0.18140494
"2015-MNH1",2,0.0491238451846789,0.18140494
"2015-MNH1",3,0.0402192027621384,0.18114388
"2015-MNH1",4,0.0329286981656416,0.18114388
"2015-MNH1",5,0.0269597378470333,0.1805429575
"2015-MNH1",6,0.0220727664702865,0.1805429575
"2015-MNH1",7,0.0180716527147321,0.1805429575
"2015-MNH1",8,0.0147958178364964,0.1270833985
"2015-MNH1",9,0.0121137910796793,0.1270833985
"2015-MNH1",10,0.00991793329329519,0.1270833985
"2015-MOH1",1,0.06,0.113120734588
"2015-MOH1",2,0.0491238451846789,0.113120734588
"2015-MOH1",3,0.0402192027621384,0.15342660742
"2015-MOH1",4,0.0329286981656416,0.34236699034
"2015-MOH1",5,0.0269597378470333,0.34236699034
"2015-MOH1",6,0.0220727664702865,0.194111753236
"2015-MOH1",7,0.0180716527147321,0.194111753236
"2015-MOH1",8,0.0147958178364964,0.178963915
"2015-MOH1",9,0.0121137910796793,0.178963915
"2015-MOH1",10,0.00991793329329519,0.178963915
"2015-MOH2",1,0.06,0.113120734588
"2015-MOH2",2,0.0491238451846789,0.113120734588
"2015-MOH2",3,0.0402192027621384,0.15342660742
"2015-MOH2",4,0.0329286981656416,0.34236699034
"2015-MOH2",5,0.0269597378470333,0.34236699034
"2015-MOH2",6,0.0220727664702865,0.194111753236
"2015-MOH2",7,0.0180716527147321,0.194111753236
"2015-MOH2",8,0.0147958178364964,0.178963915
"2015-MOH2",9,0.0121137910796793,0.178963915
"2015-MOH2",10,0.00991793329329519,0.178963915
"2015-NEH2",1,0.06,0.136560532
"2015-NEH2",2,0.0491238451846789,0.159191584
"2015-NEH2",3,0.0402192027621384,0.1985411806
"2015-NEH2",4,0.0329286981656416,0.1759962784
"2015-NEH2",5,0.0269597378470333,0.1475990608
"2015-NEH2",6,0.0220727664702865,0.1475990608
"2015-NEH2",7,0.0180716527147321,0.1475990608
"2015-NEH2",8,0.0147958178364964,0.1135603138
"2015-NEH2",9,0.0121137910796793,0.1135603138
"2015-NEH2",10,0.00991793329329519,0.1135603138
"2015-NEH3",1,0.06,0.1165036
"2015-NEH3",2,0.0491238451846789,0.1165036
"2015-NEH3",3,0.0402192027621384,0.170622364
"2015-NEH3",4,0.0329286981656416,0.170622364
"2015-NEH3",5,0.0269597378470333,0.170622364
"2015-NEH3",6,0.0220727664702865,0.170622364
"2015-NEH3",7,0.0180716527147321,0.170622364
"2015-NEH3",8,0.0147958178364964,0.0682057045
"2015-NEH3",9,0.0121137910796793,0.0682057045
"2015-NEH3",10,0.00991793329329519,0.0682057045
"2015-NYH2",1,0.06,0.117874222
"2015-NYH2",2,0.0491238451846789,0.117874222
"2015-NYH2",3,0.0402192027621384,0.133849669
"2015-NYH2",4,0.0329286981656416,0.133849669
"2015-NYH2",5,0.0269597378470333,0.133849669
"2015-NYH2",6,0.0220727664702865,0.133849669
"2015-NYH2",7,0.0180716527147321,0.103964626
"2015-NYH2",8,0.0147958178364964,0.103964626
"2015-NYH2",9,0.0121137910796793,0.103964626
"2015-NYH2",10,0.00991793329329519,0.103964626
"2015-NYH3",1,0.06,0.117874222
"2015-NYH3",2,0.0491238451846789,0.117874222
"2015-NYH3",3,0.0402192027621384,0.133849669
"2015-NYH3",4,0.0329286981656416,0.133849669
"2015-NYH3",5,0.0269597378470333,0.133849669
"2015-NYH3",6,0.0220727664702865,0.133849669
"2015-NYH3",7,0.0180716527147321,0.103964626
"2015-NYH3",8,0.0147958178364964,0.103964626
"2015-NYH3",9,0.0121137910796793,0.103964626
"2015-NYH3",10,0.00991793329329519,0.103964626
"2015-OHH1",1,0.06,0.187345879
"2015-OHH1",2,0.0491238451846789,0.187345879
"2015-OHH1",3,0.0402192027621384,0.187345879
"2015-OHH1",4,0.0329286981656416,0.215526622
"2015-OHH1",5,0.0269597378470333,0.215526622
"2015-OHH1",6,0.0220727664702865,0.215526622
"2015-OHH1",7,0.0180716527147321,0.215526622
"2015-OHH1",8,0.0147958178364964,0.215526622
"2015-OHH1",9,0.0121137910796793,0.215526622
"2015-OHH1",10,0.00991793329329519,0.1333697404
"2015-SDH1",1,0.06,0.204216226
"2015-SDH1",2,0.0491238451846789,0.204216226
"2015-SDH1",3,0.0402192027621384,0.255767482
"2015-SDH1",4,0.0329286981656416,0.255767482
"2015-SDH1",5,0.0269597378470333,0.255767482
"2015-SDH1",6,0.0220727664702865,0.255767482
"2015-SDH1",7,0.0180716527147321,0.198083083
"2015-SDH1",8,0.0147958178364964,0.198083083
"2015-SDH1",9,0.0121137910796793,0.198083083
"2015-SDH1",10,0.00991793329329519,0.198083083
"2015-TXH1",1,0.06,0.3934129915
"2015-TXH1",2,0.0491238451846789,0.3934129915
"2015-TXH1",3,0.0402192027621384,0.3934129915
"2015-TXH1",4,0.0329286981656416,0.3934129915
"2015-TXH1",5,0.0269597378470333,0.3822053095
"2015-TXH1",6,0.0220727664702865,0.3822053095
"2015-TXH1",7,0.0180716527147321,0.3822053095
"2015-TXH1",8,0.0147958178364964,0.3822053095
"2015-TXH1",9,0.0121137910796793,0.354318601
"2015-TXH1",10,0.00991793329329519,0.354318601
"2015-TXH2",1,0.06,0.3934129915
"2015-TXH2",2,0.0491238451846789,0.3934129915
"2015-TXH2",3,0.0402192027621384,0.3934129915
"2015-TXH2",4,0.0329286981656416,0.3934129915
"2015-TXH2",5,0.0269597378470333,0.3822053095
"2015-TXH2",6,0.0220727664702865,0.3822053095
"2015-TXH2",7,0.0180716527147321,0.3822053095
"2015-TXH2",8,0.0147958178364964,0.3822053095
"2015-TXH2",9,0.0121137910796793,0.354318601
"2015-TXH2",10,0.00991793329329519,0.354318601
"2016-DEH1",1,0.06,0.018379696
"2016-DEH1",2,0.0491238451846789,0.018379696
"2016-DEH1",3,0.0402192027621384,0.018379696
"2016-DEH1",4,0.0329286981656416,0.0758119384
"2016-DEH1",5,0.0269597378470333,0.0758119384
"2016-DEH1",6,0.0220727664702865,0.0758119384
"2016-DEH1",7,0.0180716527147321,0.0758119384
"2016-DEH1",8,0.0147958178364964,0.022458274
"2016-DEH1",9,0.0121137910796793,0.022458274
"2016-DEH1",10,0.00991793329329519,0.022458274
"2016-GAH2",1,0.06,0.1380855385
"2016-GAH2",2,0.0491238451846789,0.1380855385
"2016-GAH2",3,0.0402192027621384,0.1380855385
"2016-GAH2",4,0.0329286981656416,0.20977684675
"2016-GAH2",5,0.0269597378470333,0.20977684675
"2016-GAH2",6,0.0220727664702865,0.15883305115
"2016-GAH2",7,0.0180716527147321,0.15883305115
"2016-GAH2",8,0.0147958178364964,0.161102794
"2016-GAH2",9,0.0121137910796793,0.161102794
"2016-GAH2",10,0.00991793329329519,0.161102794
"2016-IAH2",1,0.06,0.127379542
"2016-IAH2",2,0.0491238451846789,0.127379542
"2016-IAH2",3,0.0402192027621384,0.12725437
"2016-IAH2",4,0.0329286981656416,0.127035319
"2016-IAH2",5,0.0269597378470333,0.127035319
"2016-IAH2",6,0.0220727664702865,0.127035319
"2016-IAH2",7,0.0180716527147321,0.127035319
"2016-IAH2",8,0.0147958178364964,0.09093796
"2016-IAH2",9,0.0121137910796793,0.09093796
"2016-IAH2",10,0.00991793329329519,0.09093796
"2016-IAH3",1,0.06,0.18234373
"2016-IAH3",2,0.0491238451846789,0.18234373
"2016-IAH3",3,0.0402192027621384,0.18234373
"2016-IAH3",4,0.0329286981656416,0.198777229
"2016-IAH3",5,0.0269597378470333,0.198580636
"2016-IAH3",6,0.0220727664702865,0.198580636
"2016-IAH3",7,0.0180716527147321,0.198580636
"2016-IAH3",8,0.0147958178364964,0.15379015
"2016-IAH3",9,0.0121137910796793,0.15379015
"2016-IAH3",10,0.00991793329329519,0.15379015
"2016-IAH4",1,0.06,0.127379542
"2016-IAH4",2,0.0491238451846789,0.127379542
"2016-IAH4",3,0.0402192027621384,0.12725437
"2016-IAH4",4,0.0329286981656416,0.127035319
"2016-IAH4",5,0.0269597378470333,0.127035319
"2016-IAH4",6,0.0220727664702865,0.127035319
"2016-IAH4",7,0.0180716527147321,0.127035319
"2016-IAH4",8,0.0147958178364964,0.09093796
"2016-IAH4",9,0.0121137910796793,0.09093796
"2016-IAH4",10,0.00991793329329519,0.09093796
"2016-ILH1",1,0.06,0.148572712
"2016-ILH1",2,0.0491238451846789,0.148572712
"2016-ILH1",3,0.0402192027621384,0.176440924
"2016-ILH1",4,0.0329286981656416,0.220948804
"2016-ILH1",5,0.0269597378470333,0.220948804
"2016-ILH1",6,0.0220727664702865,0.192853504
"2016-ILH1",7,0.0180716527147321,0.15217591
"2016-ILH1",8,0.0147958178364964,0.1161741856
"2016-ILH1",9,0.0121137910796793,0.1161741856
"2016-ILH1",10,0.00991793329329519,0.1161741856
"2016-INH1",1,0.06,0.136161076
"2016-INH1",2,0.0491238451846789,0.136161076
"2016-INH1",3,0.0402192027621384,0.136161076
"2016-INH1",4,0.0329286981656416,0.1872629725
"2016-INH1",5,0.0269597378470333,0.1872629725
"2016-INH1",6,0.0220727664702865,0.162445828
"2016-INH1",7,0.0180716527147321,0.162445828
"2016-INH1",8,0.0147958178364964,0.09162481
"2016-INH1",9,0.0121137910796793,0.09162481
"2016-INH1",10,0.00991793329329519,0.09162481
"2016-MIH1",1,0.06,0.0975608356
"2016-MIH1",2,0.0491238451846789,0.0975608356
"2016-MIH1",3,0.0402192027621384,0.168651247
"2016-MIH1",4,0.0329286981656416,0.1921834576
"2016-MIH1",5,0.0269597378470333,0.1921834576
"2016-MIH1",6,0.0220727664702865,0.1454686744
"2016-MIH1",7,0.0180716527147321,0.1454686744
"2016-MIH1",8,0.0147958178364964,0.1454686744
"2016-MIH1",9,0.0121137910796793,0.1454562256
"2016-MIH1",10,0.00991793329329519,0.1454562256
"2016-MNH1",1,0.06,0.199025692
"2016-MNH1",2,0.0491238451846789,0.199025692
"2016-MNH1",3,0.0402192027621384,0.19876258
"2016-MNH1",4,0.0329286981656416,0.19876258
"2016-MNH1",5,0.0269597378470333,0.169006129
"2016-MNH1",6,0.0220727664702865,0.169006129
"2016-MNH1",7,0.0180716527147321,0.169006129
"2016-MNH1",8,0.0147958178364964,0.1270833985
"2016-MNH1",9,0.0121137910796793,0.1270833985
"2016-MNH1",10,0.00991793329329519,0.1270833985
"2016-NEH1",1,0.06,0.136769152
"2016-NEH1",2,0.0491238451846789,0.136769152
"2016-NEH1",3,0.0402192027621384,0.102522412
"2016-NEH1",4,0.0329286981656416,0.102522412
"2016-NEH1",5,0.0269597378470333,0.102522412
"2016-NEH1",6,0.0220727664702865,0.29364334075
"2016-NEH1",7,0.0180716527147321,0.29364334075
"2016-NEH1",8,0.0147958178364964,0.29364334075
"2016-NEH1",9,0.0121137910796793,0.29364334075
"2016-NEH1",10,0.00991793329329519,0.22656246325
"2016-NEH4",1,0.06,0.136769152
"2016-NEH4",2,0.0491238451846789,0.136769152
"2016-NEH4",3,0.0402192027621384,0.102522412
"2016-NEH4",4,0.0329286981656416,0.102522412
"2016-NEH4",5,0.0269597378470333,0.102522412
"2016-NEH4",6,0.0220727664702865,0.29364334075
"2016-NEH4",7,0.0180716527147321,0.29364334075
"2016-NEH4",8,0.0147958178364964,0.29364334075
"2016-NEH4",9,0.0121137910796793,0.29364334075
"2016-NEH4",10,0.00991793329329519,0.22656246325
"2016-NYH1",1,0.06,0.118096978
"2016-NYH1",2,0.0491238451846789,0.118096978
"2016-NYH1",3,0.0402192027621384,0.135076081
"2016-NYH1",4,0.0329286981656416,0.104023108
"2016-NYH1",5,0.0269597378470333,0.104023108
"2016-NYH1",6,0.0220727664702865,0.104023108
"2016-NYH1",7,0.0180716527147321,0.103964626
"2016-NYH1",8,0.0147958178364964,0.103964626
"2016-NYH1",9,0.0121137910796793,0.103964626
"2016-NYH1",10,0.00991793329329519,0.103964626
"2016-NYH2",1,0.06,0.117874222
"2016-NYH2",2,0.0491238451846789,0.117874222
"2016-NYH2",3,0.0402192027621384,0.133849669
"2016-NYH2",4,0.0329286981656416,0.133849669
"2016-NYH2",5,0.0269597378470333,0.133849669
"2016-NYH2",6,0.0220727664702865,0.133849669
"2016-NYH2",7,0.0180716527147321,0.103964626
"2016-NYH2",8,0.0147958178364964,0.103964626
"2016-NYH2",9,0.0121137910796793,0.103964626
"2016-NYH2",10,0.00991793329329519,0.103964626
"2016-NYH2L",1,0.06,0.117874222
"2016-NYH2L",2,0.0491238451846789,0.117874222
"2016-NYH2L",3,0.0402192027621384,0.133849669
"2016-NYH2L",4,0.0329286981656416,0.133849669
"2016-NYH2L",5,0.0269597378470333,0.133849669
"2016-NYH2L",6,0.0220727664702865,0.133849669
"2016-NYH2L",7,0.0180716527147321,0.103964626
"2016-NYH2L",8,0.0147958178364964,0.103964626
"2016-NYH2L",9,0.0121137910796793,0.103964626
"2016-NYH2L",10,0.00991793329329519,0.103964626
"2016-TXH1",1,0.06,0.3934129915
"2016-TXH1",2,0.0491238451846789,0.3934129915
"2016-TXH1",3,0.0402192027621384,0.3934129915
"2016-TXH1",4,0.0329286981656416,0.3934129915
"2016-TXH1",5,0.0269597378470333,0.3822053095
"2016-TXH1",6,0.0220727664702865,0.3822053095
"2016-TXH1",7,0.0180716527147321,0.3822053095
"2016-TXH1",8,0.0147958178364964,0.3822053095
"2016-TXH1",9,0.0121137910796793,0.354318601
"2016-TXH1",10,0.00991793329329519,0.354318601
"2016-TXH2",1,0.06,0.3934129915
"2016-TXH2",2,0.0491238451846789,0.3934129915
"2016-TXH2",3,0.0402192027621384,0.3934129915
"2016-TXH2",4,0.0329286981656416,0.3934129915
"2016-TXH2",5,0.0269597378470333,0.3822053095
"2016-TXH2",6,0.0220727664702865,0.3822053095
"2016-TXH2",7,0.0180716527147321,0.3822053095
"2016-TXH2",8,0.0147958178364964,0.3822053095
"2016-TXH2",9,0.0121137910796793,0.354318601
"2016-TXH2",10,0.00991793329329519,0.354318601
"2016-WIH1",1,0.06,0.1399648
"2016-WIH1",2,0.0491238451846789,0.1399648
"2016-WIH1",3,0.0402192027621384,0.1399648
"2016-WIH1",4,0.0329286981656416,0.1399648
"2016-WIH1",5,0.0269597378470333,0.187360699
"2016-WIH1",6,0.0220727664702865,0.187360699
"2016-WIH1",7,0.0180716527147321,0.16033988605
"2016-WIH1",8,0.0147958178364964,0.16033988605
"2016-WIH1",9,0.0121137910796793,0.0094954765
"2016-WIH1",10,0.00991793329329519,0.0094954765
"2016-WIH2",1,0.06,0.13974193
"2016-WIH2",2,0.0491238451846789,0.13974193
"2016-WIH2",3,0.0402192027621384,0.13974193
"2016-WIH2",4,0.0329286981656416,0.18167683
"2016-WIH2",5,0.0269597378470333,0.18167683
"2016-WIH2",6,0.0220727664702865,0.138965077
"2016-WIH2",7,0.0180716527147321,0.138965077
"2016-WIH2",8,0.0147958178364964,0.138965077
"2016-WIH2",9,0.0121137910796793,0.0706158355
"2016-WIH2",10,0.00991793329329519,0.0706158355
"2017-COH1",1,0.06,0.115574386
"2017-COH1",2,0.0491238451846789,0.192029911
"2017-COH1",3,0.0402192027621384,0.192029911
"2017-COH1",4,0.0329286981656416,0.1273489957
"2017-COH1",5,0.0269597378470333,0.1273489957
"2017-COH1",6,0.0220727664702865,0.1273489957
"2017-COH1",7,0.0180716527147321,0.1273489957
"2017-COH1",8,0.0147958178364964,0.1273489957
"2017-COH1",9,0.0121137910796793,0.1273489957
"2017-COH1",10,0.00991793329329519,0.1273489957
"2017-DEH1",1,0.06,0.023644216
"2017-DEH1",2,0.0491238451846789,0.023644216
"2017-DEH1",3,0.0402192027621384,0.023397178
"2017-DEH1",4,0.0329286981656416,0.023397178
"2017-DEH1",5,0.0269597378470333,0.023397178
"2017-DEH1",6,0.0220727664702865,0.0176788696
"2017-DEH1",7,0.0180716527147321,0.0176788696
"2017-DEH1",8,0.0147958178364964,0.0176788696
"2017-DEH1",9,0.0121137910796793,0.0176788696
"2017-DEH1",10,0.00991793329329519,0.0102399592
"2017-GAH1",1,0.06,0.0327490483
"2017-GAH1",2,0.0491238451846789,0.0327490483
"2017-GAH1",3,0.0402192027621384,0.115037104
"2017-GAH1",4,0.0329286981656416,0.115037104
"2017-GAH1",5,0.0269597378470333,0.16119195625
"2017-GAH1",6,0.0220727664702865,0.16119195625
"2017-GAH1",7,0.0180716527147321,0.166572888376
"2017-GAH1",8,0.0147958178364964,0.178755694456
"2017-GAH1",9,0.0121137910796793,0.21193548976
"2017-GAH1",10,0.00991793329329519,0.1763256244
"2017-GAH2",1,0.06,0.08842312
"2017-GAH2",2,0.0491238451846789,0.08842312
"2017-GAH2",3,0.0402192027621384,0.08842312
"2017-GAH2",4,0.0329286981656416,0.15869357215
"2017-GAH2",5,0.0269597378470333,0.15869357215
"2017-GAH2",6,0.0220727664702865,0.15869357215
"2017-GAH2",7,0.0180716527147321,0.0671716504
"2017-GAH2",8,0.0147958178364964,0.0671716504
"2017-GAH2",9,0.0121137910796793,0.0671716504
"2017-GAH2",10,0.00991793329329519,0.0671716504
"2017-IAH4",1,0.06,0.127379542
"2017-IAH4",2,0.0491238451846789,0.127379542
"2017-IAH4",3,0.0402192027621384,0.12725437
"2017-IAH4",4,0.0329286981656416,0.127035319
"2017-IAH4",5,0.0269597378470333,0.127035319
